id,name,url,url_status,fb,x,youtube,notes,domain,media_type,frequency,range_type,prefecture_en,content_type,status,owner,source_name,row_id,snapshot_date,url_match_type,url_match_detail,_url_key
3dd4a8c49199b54e351c334b00d9b025b90f3bb2,euro2day,https://www.euro2day.gr/,ok,https://www.facebook.com/euro2day,https://twitter.com/euro2day_gr,,,euro2day.gr,website,unknown,national,Attica,news,operating,Media2Day Εκδοτική Μ.Α.Ε.,manual_independent,3dd4a8c49199b54e351c334b00d9b025b90f3bb2,2026-01-09,manual,manual_independent_outlets_csv,euro2day.gr
b9b8c6567223e78a17918371416cb09c6326ec4f,in,https://www.in.gr/,ok,https://www.facebook.com/www.in.gr,https://x.com/in_gr,,,in.gr,website,unknown,national,Attica,news,operating,,manual_independent,b9b8c6567223e78a17918371416cb09c6326ec4f,2026-01-09,manual,manual_independent_outlets_csv,in.gr
