id,url,url_status,fb,x,youtube,status,content_type,media_type,notes
d4788a51d2d1d55cd4040e9b258ea38364534c99,https://florinadaily.gr/,ok,,,,operating,news,website,
b57f805b4adf07e3ff6fa2b82f734e4b8e15c631,https://diavlos924.gr,ok,https://www.facebook.com/diavlos924.gr/videos/,,,operating,news,website,
bdc24f4f846700c795799f8f2c682b585cd5ac29,https://www.thespro.gr/,ok,https://www.facebook.com/thespronews.gr/,,,operating,news,newspaper,
687b58cae726764cc225e05ae6075b79cc0c4232,https://myplace.gr/,ok,,,,operating,other,website,
ad1203d31786c1c4c335caabba2963e4b601e74a,https://www.trikalaidees.gr/,ok,https://www.facebook.com/trikalaidees.gr/,,,operating,news,website,
6bc1a5855e14d8f1126c173f8339f2148c83e467,https://www.net-time.gr/,ok,https://www.facebook.com/nettimegreece/?locale=el_GR,,,operating,news,website,
97210fd9f0f303e3659e6657498a26836ec603f5,https://www.tourismtoday.gr/,ok,,,,operating,other,website,
d22692fe4ba3868121cf35a7f6fb923e4dc49d53,https://www.politischios.gr/,ok,https://www.facebook.com/Politischios.gr,https://x.com/politischios,https://www.youtube.com/user/PolitisDigital,operating,news,newspaper,
191d51799887812ad838707edda4518f51476998,https://destinationgreece.tv/,ok,,,,operating,other,website,
78d03620b39e18d2ce7f8d438884a870a210a0b8,https://www.evrytanikospalmos.gr/,ok,https://www.facebook.com/evrytanikospalmos.gr/?fref=ts,,,operating,news,newspaper,
a9675b2d0ee44943fbbcd6ae11974bd00a081103,https://www.proinanea.gr/,ok,,,,operating,news,newspaper,
cd91b87ab8384c21a04fbb3ac55dd6a9462b0053,https://www.politica.gr/,ok,https://www.facebook.com/Politica.gr/,,,operating,news,website,
efab761a9d602d5e501b3db3d0c2d6b1ff66a885,https://www.kavalasports.gr/,ok,https://www.facebook.com/kavalanews.gr,https://x.com/kavalanews,https://www.youtube.com/kavalanews,operating,sports,website,
e46fee5267184b6ad49c5864f91e9016ea06881f,https://www.anatolh.com/,ok,https://www.facebook.com/p/anatolhcom-100059272937544,https://x.com/anatolhcom,https://www.youtube.com/@anatolhcom,operating,news,newspaper,
37a82feae03d874728cfb1af03f82cab7f871bf4,https://www.prevezatoday.gr/,ok,https://www.facebook.com/prevezatoday,,,operating,news,website,
c260aa3329d2ef9f6c7166f10d82b445bf770df1,https://cozyvibe.gr/,ok,,,,operating,other,website,
32defa2a971d06fc2cdc783afd16fd3282bad6a5,,no_website,https://www.facebook.com/groups/fonitounestou/about?locale=el_GR,,,operating,news,newspaper,
57f43aba1db95ec299fe1a6cf2aa997772d36bd0,https://www.igrevena.gr/,ok,https://www.facebook.com/igrevena.gr,,,operating,news,newspaper,
88545f1c594e93ee0b8a73ef2265dc9bcc3ae49e,http://sentranews.gr,ok,https://www.facebook.com/sentrakastoria,,https://www.youtube.com/channel/UCg4lFAhZVq_VYtZKhhUlsEA,operating,news,newspaper,
aa9f204d2565393ed2a193980a3637f82f7e2ae0,https://www.neathess.gr/,ok,,,,operating,news,newspaper,
8df18524ce015f67d37c8f90672856065a8f2bdf,,no_website,,,,operating,unknown,newspaper,
d6ce52875d31442341e766fcb67c43d2f30b9ece,https://antilalospress.gr/,ok,https://www.facebook.com/antilalospress/,,https://www.youtube.com/channel/UCMq1llNnP5miQWXm46PUakQ,operating,news,website,
b876510dd7f50faffbd86cd3017f1362c1674032,https://www.thes.gr/,ok,https://www.facebook.com/thes.greece/,https://twitter.com/Thes_Portal,https://www.youtube.com/@lifeeventsgr,operating,news,website,
7bf7b0f9c323d1056a170f3ecb4f764b71ddfefa,https://kainourgiopress.gr/,broken,,,,operating,unknown,website,
80e30f26d2df7e9cce2cf0dfff4f5eef45ebeb51,,no_website,,,,operating,unknown,newspaper,
2a1c746a49cfe06f2826ec671b896f02a1210a27,http://comtoday.gr,broken,,,,operating,unknown,website,
64c47538f08745cfe9140c1db42d012f3308345c,https://csrweek.gr/,broken,,,,operating,unknown,website,
443c547fc58d2808771f3dad8bee52922d81f7ed,http://retailtoday.gr,broken,,,,operating,unknown,website,
cb669f94eac2cd8692890da2120e017ba47c9f47,http://RP.GR,broken,,,,operating,unknown,website,
37caf57b1ebe5d1717201c36bf41817e9113370c,http://virus.com,broken,,,,operating,unknown,website,
7871c6bae1b834588839221d5dd35c7ca799621f,,no_website,https://www.facebook.com/groups/80640923699/?locale=el_GR,,https://www.youtube.com/@palmos94.1fmchios4,operating,other,radio,
c9e3643304c89499cba0e869bed97158faf9f4d5,,no_website,https://www.facebook.com/evoikostipos/?locale=el_GR,,,operating,news,newspaper,
049123cc119f1ecbaf8c91a7b5522b4a023ffb67,,no_website,https://www.facebook.com/messiniakoslogosmessinias/?locale=el_GR,,,operating,news,newspaper,
e1bd8e9d6e8db7da39388dfa20d758e8665493f5,https://www.patratv.gr/,ok,https://www.facebook.com/lychnos/?locale=el_GR,,https://www.youtube.com/@ieramitropolispatron,not_operating,news,tv,
741e93747e89febddd0f9dad1ef27c89937b4a16,https://www.alerttv.com.gr/,ok,https://www.facebook.com/profile.php?id=100038170187066,https://x.com/ALERTTV3,https://www.youtube.com/channel/UCO-NNz_o4nMijZ_ysXS08gw,operating,news,tv,
6d1bd5fb5f7469b41446832254b43280844a5f8b,https://www.hightv.gr/,ok,,,,operating,other,tv,
5c15e499ad945f994a4994fc9962e2aca5556ef5,,ok,,,,not_operating,unknown,tv,
d5d7d9aad11fe424cbe1087789255c480c1c2820,https://kontrachannel.gr/,ok,https://www.facebook.com/kontrachannel/,https://twitter.com/Kontrachannel,https://www.youtube.com/user/kontrachannelhellas,operating,news,tv,
fcd1a3a7777065fa5ce40703ce42ae818356259f,https://www.megatv.com/,ok,https://www.facebook.com/megatvcom/,https://x.com/MegaTvOfficial,https://www.youtube.com/@MegaTVClassics,not_operating,news,tv,
4c9a422935bbaa1ea8ae323192d062404546e352,https://www.rise.gr/,ok,,,,operating,other,tv,
f4b52b960059cb5aedd990b3dc03df872d6de8ce,https://www.tvsmile.gr/,ok,,,,operating,other,tv,
92985e66bbc999317b9a33ece24622caa408e6a4,,ok,,,,not_operating,other,tv,
0aaeef8e90c3ed95d330ca13686e3c81561c3561,https://matchnews.gr/,ok,http://www.facebook.com/matchnews.gr,http://www.twitter.com/matchaxaias,,operating,sports,newspaper,
53949803a994b52131e8313910868729c97693b0,https://politeianews.gr/,ok,https://www.facebook.com/Politeiapatra,https://twitter.com/PoliteiaNews,,operating,news,newspaper,
6b8682b86c4b0076c32243bb52298de13fa7bf88,https://alphapatras.radiohype.gr/,ok,https://www.facebook.com/alphapatrasgr,,https://www.youtube.com/channel/UCq6MQs9EczamyQlR5c5gkLA,operating,news,radio,
2bfe79a76da16c7edce7ddc51388c07151f52c3b,,no_website,,,,not_found,unknown,radio,
b9363307d0b6a378c47dadd6aa1ec0d833b62b08,https://www.free1011.gr/,broken,https://www.facebook.com/Free1011Patra/,,,not_found,unknown,radio,
2bedf0de532a9e3c82419f47f5b5bd53bb54a274,https://galaxy1061.gr/,ok,https://www.facebook.com/GalaxyFm106.1/,,,operating,other,radio,
a56cac76b56bb922c2e26558831ff38cf9c1f8a7,https://radiokiss.gr/,ok,,,,operating,other,radio,
0cff97cbc5a1b6693d350187c35107c680c00538,,no_website,,,,not_operating,other,radio,
fae4c70c9e36c0dafe4dea1fe4e02ca829044cbf,https://masterfm.gr/,ok,https://www.facebook.com/masterfm902/,,,operating,other,radio,
e81e4294ce70b48553ace0674ab7bbd8f1911c39,https://maxfm.com.gr/,broken,https://www.facebook.com/maxfm934/?locale=el_GR,,,operating,news,radio,
6b68ceeba174ab9d3710ea1d3b38f36459262d21,https://melon-music.com/,ok,,,,operating,other,radio,
66fb0476ecadd986bab4f1be2048a4c7bb74d0bc,,no_website,,,,not_found,other,radio,
bb2c43ffbf314cc88c476ad82b139cc17bafc07d,,no_website,,,,not_found,other,radio,
b62165bba16be6a1efe2abd838d508fa0e045dd0,,no_website,,,,not_found,other,radio,
7a4df320c15297426819fa795199ca3c3e74ecd3,https://matchnews.gr/,ok,http://www.facebook.com/matchnews.gr,http://www.twitter.com/matchaxaias,,operating,news,newspaper,
