id,name,url,media_type,frequency,range_type,prefecture_en,content_type,status,url_status,fb,x,youtube,owner,source_name
25c4972c24157cebd71bf98bee04201e9bbe4e73,grandsport,https://grandsport.gr,website,unknown,national,Iraklio,sports,operating,ok,https://www.facebook.com/GRANDSPORTGR/?locale=el_GR,,https://grandsport.gr/#,GRANDSPORT,mt_websites
d75fee7b047c8d912e188201a520ab8dd68ece0f,corfusports,https://www.corfusports.com/,website,unknown,national,Corfu,sports,operating,ok,https://www.facebook.com/corfusports/,,,,mt_websites
53d29afabbde8d8cde3f5e4fdde29a2d1c174753,metrosport,https://metrosport.gr/,website,unknown,national,Thessaloniki,sports,operating,ok,https://www.facebook.com/metrosport.gr,https://twitter.com/metrosportgr_,https://www.youtube.com/user/Metropolis955,METROMEDIA,mt_websites
30deacd6fb6da0b016fd91e9494c743b4c1fd7ab,sport-fm,https://www.sport-fm.gr/,website,unknown,national,Attica,sports,operating,ok,https://www.facebook.com/SPORFMOFFICIAL/,https://twitter.com/sporfm946,https://www.youtube.com/user/NovaSPORFM946,ΟΡΓΑΝΙΣΜΟΣ ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ Α.Ε.,mt_websites
ce3e19a8fbeebc0854cdaaaec7704e064e0c4d95,hisports,https://hisports.gr/,website,unknown,national,Aitoloakarnania,sports,operating,ok,https://www.facebook.com/hisportsgr,,https://www.youtube.com/channel/UCeU-4PVUXcgRQl-BG2QcMaw,,mt_websites
efab761a9d602d5e501b3db3d0c2d6b1ff66a885,kavalasports,https://www.kavalasports.gr/,website,unknown,national,Kavala,sports,operating,ok,https://www.facebook.com/kavalanews.gr,https://x.com/kavalanews,https://www.youtube.com/kavalanews,DIGITAL PUBLIC ΜΟΝΟΠΡΟΣΩΠΗ ΙΚΕ,mt_websites
93f46525d19ac637d1ddfff695ee2912abada6a8,sdna,https://www.sdna.gr/,website,unknown,national,Attica,sports,operating,ok,https://www.facebook.com/www.sdna.gr,https://twitter.com/sdnagr,https://www.youtube.com/channel/UCqmlP6T_3yoFj83s3UconPQ,PARALOT MEDIA AND MARKETING LIMITED,mt_websites
8de391ffa7899eed02638d588bd698216e002750,kerkidasport,https://kerkidasport.gr/,website,unknown,national,Imathia,sports,operating,ok,https://www.facebook.com/kerkidasport/,https://x.com/kerkidasport,https://www.youtube.com/user/kerkidasport,,mt_websites
f336a383bdbe9f8da0f2112631c645487c089be2,forzaonline,https://www.forzaonline.gr/news/,website,unknown,national,Thessaloniki,sports,operating,ok,https://www.facebook.com/FORZAPlus,,https://www.youtube.com/channel/UCp1Sw6sArV8oWGE9XHQeGhg,FORZA GROUP ΕΚΔΟΣΕΙΣ,mt_websites
19ce2c95be6cb0a7a022bffc11fba95204a01cea,novasports,https://www.novasports.gr/,website,unknown,national,Attica,sports,operating,ok,,,,NOVA Μ.Α.Ε.,mt_websites
fcf5795b5aa686ca3d3560d217655c23ce0feffa,allaboutaris,https://allaboutaris.gr/,website,unknown,national,Thessaloniki,sports,operating,ok,https://www.facebook.com/AllAboutARIS/?locale=el_GR,https://x.com/AllAboutARIS,https://www.youtube.com/channel/UCiN6Dd38C-lmS0s9Asuy5FA,ALL ABOUT WEB,mt_websites
96e9c0fa83e42e45e5a23849ba2f6a3376b62ada,sportal,https://www.sportal.gr/,website,unknown,national,Attica,sports,operating,ok,https://www.facebook.com/sportalgreece,https://twitter.com/SportalgrG,https://www.youtube.com/channel/UCMVkJNLEm8gsHjA3rIfm61g,sportal.gr,mt_websites
eb2515896240f5834214bf8b49b4ca4bacf5d7a7,sportlesvos,https://sportlesvos.gr/,website,unknown,national,Lesvos,sports,operating,ok,https://www.facebook.com/sportlesvos.gr,https://x.com/SportLesvosGR,https://www.youtube.com/@sportlesvos,ΕΝΗΜΕΡΩΣΗ,mt_websites
e93aeeee8a0c62c7bd0530a43a4f015e2431a331,to10,https://www.to10.gr/,website,unknown,national,Attica,sports,operating,ok,https://www.facebook.com/to10.gr,https://twitter.com/to10gr,,,manual_independent
