canonical_url,domain,outlet_count,outlet_ids,outlet_names,media_types,owners,prefectures,source_names,has_manual,fb_any,x_any,youtube_any,has_tv,has_radio,has_newspaper,has_website_entity,web_native
https://metrosport.gr,metrosport.gr,1,['53d29afabbde8d8cde3f5e4fdde29a2d1c174753'],['metrosport'],['website'],['METROMEDIA'],['Thessaloniki'],['mt_websites'],False,https://www.facebook.com/metrosport.gr,https://twitter.com/metrosportgr_,https://www.youtube.com/user/Metropolis955,False,False,False,True,True
https://monobala.gr,monobala.gr,1,['bf9338b9888324d156e441463fd51f8f52710e0c'],['monobala'],['website'],['FOOTBALL NEWS'],['Attica'],['mt_websites'],False,https://www.facebook.com/monobala.gr/,https://twitter.com/monobalaGR,https://www.youtube.com/@monobalaGR,False,False,False,True,True
https://mysports.gr,mysports.gr,1,['6dd507f281438f737792893c42fe1fbbe54fdad0'],['mysports'],['website'],['JK MEDIA GROUP'],['Thessaloniki'],['mt_websites'],False,,,,False,False,False,True,True
https://novasports.gr,novasports.gr,1,['19ce2c95be6cb0a7a022bffc11fba95204a01cea'],['novasports'],['website'],['NOVA Μ.Α.Ε.'],['Attica'],['mt_websites'],False,,,,False,False,False,True,True
https://onsports.gr,onsports.gr,1,['90914ab5720befff0f7e8d1d641e9ee8e55481e5'],['onsports'],['website'],[],['Attica'],['mt_websites'],False,,,,False,False,False,True,True
https://oraspor.gr,oraspor.gr,1,['ac07bb599db8db6cb42006517d8525baf34b0b62'],['ΑΘΛΗΤΙΚΗ ΩΡΑ ΤΩΝ ΣΠΟΡ'],['newspaper'],['ΕΛΛΗΝΙΚΟΣ ΤΥΠΟΣ ΕΠΕ'],['Attica'],['mt_press'],False,https://www.facebook.com/Oragiaspor/,,,False,False,True,False,False
https://paok24.com,paok24.com,1,['dc49a7e26a7a4239a28255cd4edd4413668dfa33'],['paok24'],['website'],['paok24'],['Attica'],['mt_websites'],False,,,,False,False,False,True,True
https://sdna.gr,sdna.gr,1,['93f46525d19ac637d1ddfff695ee2912abada6a8'],['sdna'],['website'],['PARALOT MEDIA AND MARKETING LIMITED'],['Attica'],['mt_websites'],False,https://www.facebook.com/www.sdna.gr,https://twitter.com/sdnagr,https://www.youtube.com/channel/UCqmlP6T_3yoFj83s3UconPQ,False,False,False,True,True
https://sport-fm.gr,sport-fm.gr,1,['30deacd6fb6da0b016fd91e9494c743b4c1fd7ab'],['sport-fm'],['website'],['ΟΡΓΑΝΙΣΜΟΣ ΜΕΣΩΝ ΜΑΖΙΚΗΣ ΕΠΙΚΟΙΝΩΝΙΑΣ Α.Ε.'],['Attica'],['mt_websites'],False,https://www.facebook.com/SPORFMOFFICIAL/,https://twitter.com/sporfm946,https://www.youtube.com/user/NovaSPORFM946,False,False,False,True,True
https://sport24.gr,sport24.gr,1,['d5c7bb2024acd1c5a7d3c81dbb9bc82e37e8b549'],['sport24'],['website'],['24 MEDIA Α.Ε ΨΗΦΙΑΚΩΝ ΕΦΑΡΜΟΓΩΝ'],['Attica'],['mt_websites'],False,https://www.facebook.com/SPORT24/,https://twitter.com/sport24,https://www.youtube.com/@sport24greecetv?sub_confirmation=1,False,False,False,True,True
https://sportal.gr,sportal.gr,1,['96e9c0fa83e42e45e5a23849ba2f6a3376b62ada'],['sportal'],['website'],['sportal.gr'],['Attica'],['mt_websites'],False,https://www.facebook.com/sportalgreece,https://twitter.com/SportalgrG,https://www.youtube.com/channel/UCMVkJNLEm8gsHjA3rIfm61g,False,False,False,True,True
https://sportday.gr,sportday.gr,1,['20845fb9dd0dbda38233c0e17cefaa5d7a09cb22'],['sportday'],['website'],['NEWAGE SPORTSMEDIA A.E.'],['Attica'],['mt_websites'],False,https://www.facebook.com/sportdaygr/,https://x.com/sportdaygr,https://www.youtube.com/@sportday3064,False,False,False,True,True
https://sportdog.gr,sportdog.gr,1,['6501ef74e055f838bf7eba2fffc41f72bb81d08c'],['sportdog'],['website'],['SPORTDOG ΜΟΝΟΠΡΟΣΩΠΗ Ι.Κ.Ε.'],['Attica'],['mt_websites'],False,https://www.facebook.com/sportdog,https://twitter.com/sportdoggr?lang=en,https://www.youtube.com/user/sportdogchannel?app=desktop,False,False,False,True,True
https://sportfmpatras.gr,sportfmpatras.gr,1,['daffbd32514489d5ca1e128a07ea52e4581f61ad'],"['SPOR FM ΠΑΤΡΑΣ 96,3']",['radio'],['ΜΑΡΙΑ ΚΑΡΑΓΕΩΡΓΟΠΟΥΛΟΥ'],['Achaia'],['esr_radio'],False,https://www.facebook.com/sportfmpatras96.3,https://x.com/SportFM_Patras,https://www.youtube.com/@sportfmpatras,False,True,False,False,False
https://sportlesvos.gr,sportlesvos.gr,1,['eb2515896240f5834214bf8b49b4ca4bacf5d7a7'],['sportlesvos'],['website'],['ΕΝΗΜΕΡΩΣΗ'],['Lesvos'],['mt_websites'],False,https://www.facebook.com/sportlesvos.gr,https://x.com/SportLesvosGR,https://www.youtube.com/@sportlesvos,False,False,False,True,True
https://to10.gr,to10.gr,1,['e93aeeee8a0c62c7bd0530a43a4f015e2431a331'],['to10'],['website'],[],['Attica'],['manual_independent'],True,https://www.facebook.com/to10.gr,https://twitter.com/to10gr,,False,False,False,True,True
