canonical_url,domain,outlet_count,outlet_ids,outlet_names,media_types,owners,prefectures,source_names,has_manual,fb_any,x_any,youtube_any,has_tv,has_radio,has_newspaper,has_website_entity,web_native
https://apopsilive.gr,apopsilive.gr,1,['601a7958f1b5e04d2b4e9e9e3c9fa98cedaa4166'],['ΑΠΟΨΗ ΤΟΥ ΝΟΤΟΥ'],['newspaper'],['ΜΑΘΙΟΥΔΑΚΗΣ ΜΕΝΤΙΑ ΑΕ'],['Iraklio'],['mt_press'],False,https://www.facebook.com/ApopsiLivegr-620053638146800,https://twitter.com/ApopsiLive,,False,False,True,False,False
https://apopsipellas.gr,apopsipellas.gr,1,['96ae97b43eb5faaf2d61d1b18286222b6989a732'],['apopsipellas'],['website'],['ΤΥΠΟΕΚΔΟΤΙΚΗ ΟΕ'],['Pella'],['mt_websites'],False,https://www.facebook.com/people/%CE%91%CE%A0%CE%9F%CE%A8%CE%97/100050373231634/?sk=about,,,False,False,False,True,True
https://appsradio.gr,appsradio.gr,1,['82762fdb3921871254a023d7a45a9ae4c41d72d6'],"['APPS RADIO 96,6']",['radio'],['Γ. ΚΟΛΟΚΟΤΡΩΝΗΣ ΚΑΙ ΣΙΑ ΟΕ \nΔΙΑΓΡΑΦΗ ΑΠΌ ΓΕΜΗ'],['Evros'],['esr_radio'],False,,,,False,True,False,False,False
https://arcadia938.gr,arcadia938.gr,1,['20a750c80ff40e8466842582deef40901e88ad92'],"['ARCADIA 93,8 FM']",['radio'],['ΠΕΛΟΠΟΝΝΗΣΟΣ MEDIA ΟΕ\nΑ ΓΕΜΗ 029284914000\nΝΟΜΙΜΟΣ ΕΚΠΡΟΣΩΠΟΣ: ΓΑΡΥΦΑΛΙΑ ΜΠΑΚΟΠΟΥΛΟΥ'],['Arcadia'],['esr_radio'],False,https://www.facebook.com/arcadia938/?locale=el_GR,https://x.com/RadioArcadia938,https://www.youtube.com/@arcadia938,False,True,False,False,False
https://argolikianaptiksi.gr,argolikianaptiksi.gr,1,['eb440f072d96331455cfa2f857dc3895e7775b95'],['ΑΡΓΟΛΙΚΗ ΑΝΑΠΤΥΞΗ'],['newspaper'],['ΑΡΓΟΛΙΚΗ ΑΝΑΠΤΥΞΗ'],['Argolida'],['mt_press'],False,https://www.facebook.com/argolikianaptiksi/,https://twitter.com/prooptiki?lang=el,,False,False,True,False,False
https://argonafplia.gr,argonafplia.gr,1,['24d593f1e1c09465f3dcc4f00fba16acb55a10c4'],['argonafplia'],['website'],['EVENTS AND MORE PC'],['Argolida'],['mt_websites'],False,https://www.facebook.com/argonafplia.gr/photos/,https://x.com/argonafpliagr,https://www.youtube.com/@ARGONAFPLIAOfficial,False,False,False,True,True
https://arkadikitv.gr,arkadikitv.gr,2,"['f11410893b01517980e048eb3e7c362c6a8efe0a', 'f8824639ecb5c58b5cc9533c9c5979291dad5100']","['ΑΡΚΑΔΙΚΗ', 'ΑΡΚΑΔΙΚΗ ΡΑΔΙΟΦΩΝΙΑ']","['radio', 'tv']","['ΑΡΚΑΔΙΚΗ ΤΗΛΕΟΡΑΣΗ A.E.', 'ΑΡΚΑΔΙΚΗ ΤΗΛΕΟΡΑΣΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ\nΑ ΓΕΜΗ 029116214000\nΝΟΜΙΜΟΣ ΕΚΠΡΟΣΩΠΟΣ: ΓΕΩΡΓΙΟΣ ΠΑΠΑΗΛΙΟΥ\nΝΟΜΙΜΟΣ ΕΚΠΡΟΣΩΠΟΣ: ΣΠΥΡΙΔΟΥΛΑ ΜΑΤΣΟΥΚΑ']",['Arcadia'],"['esr_radio', 'esr_tv_regional']",False,https://www.facebook.com/Arakdiki,,https://www.youtube.com/channel/UC_uyEgAF2ofwVYXJILw2M2w,True,True,False,False,False
https://arta2day.gr,arta2day.gr,1,['c3b09e77ef3f1302fc11dbca877bd3d2f7e8eb93'],['arta2day'],['website'],['ΠΑΠΠΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ'],['Aitoloakarnania'],['mt_websites'],False,,https://x.com/arta2day,https://www.youtube.com/@arta2day,False,False,False,True,True
https://arthro.gr,arthro.gr,1,['41a5678657e480051871fe2709af6741ab3e9b0d'],['arthro'],['website'],['LEVEL GROUP ΜΟΝΟΠΡΟΣΩΠΗ Ι Κ Ε'],['Attica'],['mt_websites'],False,https://www.facebook.com/arthrogr-110373053788394,https://twitter.com/GrArthro,https://youtube.com/channel/UCd8R6FiJqBD-4q9gcjQhKcg,False,False,False,True,True
https://arttv.gr,arttv.gr,2,"['8d2142a9b783dc4d398a668abbb6250e4874afc9', 'f31a946f0d22a103fbf12fe22a06123da14bc3f7']","['ART TV', 'arttv']",['tv'],['ART TV ΓΚΑΝΙΑΤΣΑΣ ΑΕ'],['Arta'],"['esr_tv_regional', 'manual_independent']",True,https://www.facebook.com/arttvsocial,,https://www.youtube.com/@arttvchannel9493,True,False,False,False,False
